"Bill of Material for "
"On 03/04/2017 at 02:28:39 p.m."

"Comment","Pattern","Quantity","Components"

"0","1206-0Ohm","1","R5","Resistor"
"100nF","C0805","5","C3, C6, C7, C8, C9","Ceramic/Tantalum Capacitor"
"10k","RES_1206","1","R1","Resistor"
"16MHz","ABM2 - XTAL","1","X1","Crystal Oscillator"
"18pF","C0805","2","C1, C2","Ceramic/Tantalum Capacitor"
"1k","RES_1206","1","R4","Resistor"
"1N4148","SOD-123","1","D1","Diodo"
"1uF","C0805","1","C4","Ceramic/Tantalum Capacitor"
"22","RES_1206","2","R2, R3","Resistor"
"600 Ohm 1.5A","CC_1206","2","L1, L2","Inductor"
"ATMEGA32U4","TQFP44","1","U1","AVR ATmega Microcontroller IC 8-Bit 16MHz 32KB (16K x 16) FLASH"
"Boot","EVQPL","1","S1","Switch Button"
"Encoder-1","Poke Home H6","1","J7","6-ways Terminal Block"
"Encoder-2","Poke Home H6","1","J6","6-ways Terminal Block"
"ISP","Header-3x2","1","J2","6-pin male header"
"M1","TB_SMD_2V","1","J4","Terminal Block 2 ways"
"M2","TB_SMD_2V","1","J5","Terminal Block 2 ways"
"PRTR5V0U2X","SOT143B","1","D2","TVS DIODE 5.5VWM SOT143B"
"USB","USB Mini-B SMD","1","J1","USB On-The-Go (OTG) Mini-B Receptacle, Right Angle, Thru-Hole, 0.80mm (.031") Pitch, Solder Tails & Shell Tabs with Dimples"
"VCC","TB_SMD_3v","1","J3","3-ways Terminal Block"
